county,cause,year,count
Alameda,Alzheimer's disease,1989,20
Alameda,Alzheimer's disease,1990,0
Alameda,Alzheimer's disease,1991,0
Alameda,Alzheimer's disease,1992,0
Alameda,Alzheimer's disease,1993,24
Alameda,Alzheimer's disease,1994,17
Alameda,Alzheimer's disease,1995,0
Alameda,Alzheimer's disease,1996,0
Alameda,Alzheimer's disease,1997,0
Alameda,Alzheimer's disease,1998,0
Alameda,Alzheimer's disease,1999,43
Alameda,Alzheimer's disease,2000,89
Alameda,Alzheimer's disease,2001,93
Alameda,Alzheimer's disease,2002,88
Alameda,Alzheimer's disease,2003,88
Alameda,Alzheimer's disease,2004,64
Alameda,Alzheimer's disease,2005,91
Alameda,Alzheimer's disease,2006,155
Alameda,Alzheimer's disease,2007,166
Alameda,Alzheimer's disease,2008,233
Alameda,Alzheimer's disease,2009,247
Alameda,Alzheimer's disease,2010,350
Alameda,Alzheimer's disease,2011,397
Alameda,Alzheimer's disease,2012,374
Alameda,Alzheimer's disease,2013,451
Alameda,Alzheimer's disease,2014,534
Alameda,Alzheimer's disease,2015,723
Alameda,Alzheimer's disease,2016,769
Alameda,Alzheimer's disease,2017,798
Alameda,Alzheimer's disease,2018,836
Alameda,Alzheimer's disease,2019,822
Alameda,Alzheimer's disease,2020,829
Alameda,Alzheimer's disease,2021,600
Alameda,Cancerous tumor,1989,3935
Alameda,Cancerous tumor,1990,3824
Alameda,Cancerous tumor,1991,3953
Alameda,Cancerous tumor,1992,3972
Alameda,Cancerous tumor,1993,3967
Alameda,Cancerous tumor,1994,3895
Alameda,Cancerous tumor,1995,3911
Alameda,Cancerous tumor,1996,3805
Alameda,Cancerous tumor,1997,3719
Alameda,Cancerous tumor,1998,3733
Alameda,Cancerous tumor,1999,3931
Alameda,Cancerous tumor,2000,4006
Alameda,Cancerous tumor,2001,3954
Alameda,Cancerous tumor,2002,3760
Alameda,Cancerous tumor,2003,3881
Alameda,Cancerous tumor,2004,3696
Alameda,Cancerous tumor,2005,3679
Alameda,Cancerous tumor,2006,3596
Alameda,Cancerous tumor,2007,3608
Alameda,Cancerous tumor,2008,3593
Alameda,Cancerous tumor,2009,3710
Alameda,Cancerous tumor,2010,3741
Alameda,Cancerous tumor,2011,3613
Alameda,Cancerous tumor,2012,3855
Alameda,Cancerous tumor,2013,3736
Alameda,Cancerous tumor,2014,3897
Alameda,Cancerous tumor,2015,3876
Alameda,Cancerous tumor,2016,3985
Alameda,Cancerous tumor,2017,3761
Alameda,Cancerous tumor,2018,3893
Alameda,Cancerous tumor,2019,3734
Alameda,Cancerous tumor,2020,3774
Alameda,Cancerous tumor,2021,3879
Alameda,Chronic lower respiratory diseases,1989,477
Alameda,Chronic lower respiratory diseases,1990,381
Alameda,Chronic lower respiratory diseases,1991,454
Alameda,Chronic lower respiratory diseases,1992,507
Alameda,Chronic lower respiratory diseases,1993,399
Alameda,Chronic lower respiratory diseases,1994,375
Alameda,Chronic lower respiratory diseases,1995,423
Alameda,Chronic lower respiratory diseases,1996,551
Alameda,Chronic lower respiratory diseases,1997,442
Alameda,Chronic lower respiratory diseases,1998,484
Alameda,Chronic lower respiratory diseases,1999,648
Alameda,Chronic lower respiratory diseases,2000,541
Alameda,Chronic lower respiratory diseases,2001,531
Alameda,Chronic lower respiratory diseases,2002,375
Alameda,Chronic lower respiratory diseases,2003,533
Alameda,Chronic lower respiratory diseases,2004,415
Alameda,Chronic lower respiratory diseases,2005,466
Alameda,Chronic lower respiratory diseases,2006,454
Alameda,Chronic lower respiratory diseases,2007,439
Alameda,Chronic lower respiratory diseases,2008,505
Alameda,Chronic lower respiratory diseases,2009,410
Alameda,Chronic lower respiratory diseases,2010,366
Alameda,Chronic lower respiratory diseases,2011,492
Alameda,Chronic lower respiratory diseases,2012,437
Alameda,Chronic lower respiratory diseases,2013,503
Alameda,Chronic lower respiratory diseases,2014,377
Alameda,Chronic lower respiratory diseases,2015,506
Alameda,Chronic lower respiratory diseases,2016,455
Alameda,Chronic lower respiratory diseases,2017,470
Alameda,Chronic lower respiratory diseases,2018,401
Alameda,Chronic lower respiratory diseases,2019,364
Alameda,Chronic lower respiratory diseases,2020,433
Alameda,Chronic lower respiratory diseases,2021,280
Alameda,Diabetes,1989,22
Alameda,Diabetes,1990,25
Alameda,Diabetes,1991,45
Alameda,Diabetes,1992,17
Alameda,Diabetes,1993,42
Alameda,Diabetes,1994,30
Alameda,Diabetes,1995,181
Alameda,Diabetes,1996,157
Alameda,Diabetes,1997,148
Alameda,Diabetes,1998,140
Alameda,Diabetes,1999,214
Alameda,Diabetes,2000,231
Alameda,Diabetes,2001,201
Alameda,Diabetes,2002,179
Alameda,Diabetes,2003,230
Alameda,Diabetes,2004,216
Alameda,Diabetes,2005,224
Alameda,Diabetes,2006,225
Alameda,Diabetes,2007,166
Alameda,Diabetes,2008,289
Alameda,Diabetes,2009,176
Alameda,Diabetes,2010,208
Alameda,Diabetes,2011,240
Alameda,Diabetes,2012,338
Alameda,Diabetes,2013,225
Alameda,Diabetes,2014,388
Alameda,Diabetes,2015,266
Alameda,Diabetes,2016,278
Alameda,Diabetes,2017,340
Alameda,Diabetes,2018,240
Alameda,Diabetes,2019,323
Alameda,Diabetes,2020,345
Alameda,Diabetes,2021,317
Alameda,Assault (homicide),1989,159
Alameda,Assault (homicide),1990,186
Alameda,Assault (homicide),1991,207
Alameda,Assault (homicide),1992,189
Alameda,Assault (homicide),1993,187
Alameda,Assault (homicide),1994,191
Alameda,Assault (homicide),1995,168
Alameda,Assault (homicide),1996,105
Alameda,Assault (homicide),1997,107
Alameda,Assault (homicide),1998,48
Alameda,Assault (homicide),1999,20
Alameda,Assault (homicide),2000,89
Alameda,Assault (homicide),2001,59
Alameda,Assault (homicide),2002,89
Alameda,Assault (homicide),2003,75
Alameda,Assault (homicide),2004,71
Alameda,Assault (homicide),2005,76
Alameda,Assault (homicide),2006,139
Alameda,Assault (homicide),2007,105
Alameda,Assault (homicide),2008,126
Alameda,Assault (homicide),2009,74
Alameda,Assault (homicide),2010,48
Alameda,Assault (homicide),2011,23
Alameda,Assault (homicide),2012,89
Alameda,Assault (homicide),2013,32
Alameda,Assault (homicide),2014,67
Alameda,Assault (homicide),2015,78
Alameda,Assault (homicide),2016,34
Alameda,Assault (homicide),2017,47
Alameda,Assault (homicide),2018,0
Alameda,Assault (homicide),2019,20
Alameda,Assault (homicide),2020,109
Alameda,Assault (homicide),2021,120
Alameda,Diseases of heart,1989,5396
Alameda,Diseases of heart,1990,5132
Alameda,Diseases of heart,1991,4954
Alameda,Diseases of heart,1992,4783
Alameda,Diseases of heart,1993,4996
Alameda,Diseases of heart,1994,5004
Alameda,Diseases of heart,1995,4940
Alameda,Diseases of heart,1996,4974
Alameda,Diseases of heart,1997,4751
Alameda,Diseases of heart,1998,5034
Alameda,Diseases of heart,1999,4889
Alameda,Diseases of heart,2000,4887
Alameda,Diseases of heart,2001,4569
Alameda,Diseases of heart,2002,4421
Alameda,Diseases of heart,2003,4261
Alameda,Diseases of heart,2004,4102
Alameda,Diseases of heart,2005,3994
Alameda,Diseases of heart,2006,3950
Alameda,Diseases of heart,2007,3867
Alameda,Diseases of heart,2008,3600
Alameda,Diseases of heart,2009,3360
Alameda,Diseases of heart,2010,3292
Alameda,Diseases of heart,2011,3357
Alameda,Diseases of heart,2012,3312
Alameda,Diseases of heart,2013,3288
Alameda,Diseases of heart,2014,3192
Alameda,Diseases of heart,2015,3274
Alameda,Diseases of heart,2016,3328
Alameda,Diseases of heart,2017,3300
Alameda,Diseases of heart,2018,3367
Alameda,Diseases of heart,2019,3456
Alameda,Diseases of heart,2020,3515
Alameda,Diseases of heart,2021,3507
Alameda,Essential hypertension and hypertensive renal disease,1989,0
Alameda,Essential hypertension and hypertensive renal disease,1990,0
Alameda,Essential hypertension and hypertensive renal disease,1991,0
Alameda,Essential hypertension and hypertensive renal disease,1992,0
Alameda,Essential hypertension and hypertensive renal disease,1993,0
Alameda,Essential hypertension and hypertensive renal disease,1994,0
Alameda,Essential hypertension and hypertensive renal disease,1995,0
Alameda,Essential hypertension and hypertensive renal disease,1996,0
Alameda,Essential hypertension and hypertensive renal disease,1997,0
Alameda,Essential hypertension and hypertensive renal disease,1998,0
Alameda,Essential hypertension and hypertensive renal disease,1999,0
Alameda,Essential hypertension and hypertensive renal disease,2000,0
Alameda,Essential hypertension and hypertensive renal disease,2001,0
Alameda,Essential hypertension and hypertensive renal disease,2002,0
Alameda,Essential hypertension and hypertensive renal disease,2003,0
Alameda,Essential hypertension and hypertensive renal disease,2004,28
Alameda,Essential hypertension and hypertensive renal disease,2005,0
Alameda,Essential hypertension and hypertensive renal disease,2006,24
Alameda,Essential hypertension and hypertensive renal disease,2007,48
Alameda,Essential hypertension and hypertensive renal disease,2008,48
Alameda,Essential hypertension and hypertensive renal disease,2009,23
Alameda,Essential hypertension and hypertensive renal disease,2010,68
Alameda,Essential hypertension and hypertensive renal disease,2011,20
Alameda,Essential hypertension and hypertensive renal disease,2012,101
Alameda,Essential hypertension and hypertensive renal disease,2013,78
Alameda,Essential hypertension and hypertensive renal disease,2014,47
Alameda,Essential hypertension and hypertensive renal disease,2015,92
Alameda,Essential hypertension and hypertensive renal disease,2016,59
Alameda,Essential hypertension and hypertensive renal disease,2017,172
Alameda,Essential hypertension and hypertensive renal disease,2018,89
Alameda,Essential hypertension and hypertensive renal disease,2019,140
Alameda,Essential hypertension and hypertensive renal disease,2020,160
Alameda,Essential hypertension and hypertensive renal disease,2021,127
Alameda,Accidents (unintentional injuries),1989,396
Alameda,Accidents (unintentional injuries),1990,333
Alameda,Accidents (unintentional injuries),1991,368
Alameda,Accidents (unintentional injuries),1992,263
Alameda,Accidents (unintentional injuries),1993,335
Alameda,Accidents (unintentional injuries),1994,377
Alameda,Accidents (unintentional injuries),1995,355
Alameda,Accidents (unintentional injuries),1996,287
Alameda,Accidents (unintentional injuries),1997,262
Alameda,Accidents (unintentional injuries),1998,256
Alameda,Accidents (unintentional injuries),1999,312
Alameda,Accidents (unintentional injuries),2000,306
Alameda,Accidents (unintentional injuries),2001,364
Alameda,Accidents (unintentional injuries),2002,308
Alameda,Accidents (unintentional injuries),2003,304
Alameda,Accidents (unintentional injuries),2004,366
Alameda,Accidents (unintentional injuries),2005,475
Alameda,Accidents (unintentional injuries),2006,472
Alameda,Accidents (unintentional injuries),2007,460
Alameda,Accidents (unintentional injuries),2008,344
Alameda,Accidents (unintentional injuries),2009,238
Alameda,Accidents (unintentional injuries),2010,201
Alameda,Accidents (unintentional injuries),2011,352
Alameda,Accidents (unintentional injuries),2012,283
Alameda,Accidents (unintentional injuries),2013,445
Alameda,Accidents (unintentional injuries),2014,414
Alameda,Accidents (unintentional injuries),2015,535
Alameda,Accidents (unintentional injuries),2016,447
Alameda,Accidents (unintentional injuries),2017,397
Alameda,Accidents (unintentional injuries),2018,520
Alameda,Accidents (unintentional injuries),2019,649
Alameda,Accidents (unintentional injuries),2020,813
Alameda,Accidents (unintentional injuries),2021,937
Alameda,Chronic liver disease and cirrhosis,1989,41
Alameda,Chronic liver disease and cirrhosis,1990,0
Alameda,Chronic liver disease and cirrhosis,1991,40
Alameda,Chronic liver disease and cirrhosis,1992,38
