id,name,year,category,count
63f6279bd8966ef293f0f0be,28 Palms,2021,Alzheimer's disease,1
63f6279bd8966ef293f0f0be,28 Palms,2021,Cancerous tumor,2
63f6279bd8966ef293f0f0be,28 Palms,2021,Chronic lower respiratory diseases,0
63f6279bd8966ef293f0f0be,28 Palms,2021,Diabetes,0
63f6279bd8966ef293f0f0be,28 Palms,2021,Assault (homicide),0
63f6279bd8966ef293f0f0be,28 Palms,2021,Diseases of heart,2
63f6279bd8966ef293f0f0be,28 Palms,2021,Essential hypertension and hypertensive renal disease,0
63f6279bd8966ef293f0f0be,28 Palms,2021,Accidents (unintentional injuries),0
63f6279bd8966ef293f0f0be,28 Palms,2021,Chronic liver disease and cirrhosis,0
63f6279bd8966ef293f0f0be,28 Palms,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f6279bd8966ef293f0f0be,28 Palms,2021,Parkinson's disease,0
63f6279bd8966ef293f0f0be,28 Palms,2021,Influenza and pneumonia,0
63f6279bd8966ef293f0f0be,28 Palms,2021,Cerebrovascular diseases,1
63f6279bd8966ef293f0f0be,28 Palms,2021,Intentional self-harm (suicide),0
63f627a9d8966ef293f0f0e8,Acorn,2021,Alzheimer's disease,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Cancerous tumor,1
63f627a9d8966ef293f0f0e8,Acorn,2021,Chronic lower respiratory diseases,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Diabetes,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Assault (homicide),0
63f627a9d8966ef293f0f0e8,Acorn,2021,Diseases of heart,1
63f627a9d8966ef293f0f0e8,Acorn,2021,Essential hypertension and hypertensive renal disease,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Accidents (unintentional injuries),1
63f627a9d8966ef293f0f0e8,Acorn,2021,Chronic liver disease and cirrhosis,0
63f627a9d8966ef293f0f0e8,Acorn,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627a9d8966ef293f0f0e8,Acorn,2021,Parkinson's disease,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Influenza and pneumonia,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Cerebrovascular diseases,0
63f627a9d8966ef293f0f0e8,Acorn,2021,Intentional self-harm (suicide),0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Alzheimer's disease,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Cancerous tumor,1
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Chronic lower respiratory diseases,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Diabetes,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Assault (homicide),0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Diseases of heart,1
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Essential hypertension and hypertensive renal disease,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Accidents (unintentional injuries),1
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Chronic liver disease and cirrhosis,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Parkinson's disease,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Influenza and pneumonia,0
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Cerebrovascular diseases,1
63f627a9d8966ef293f0f0e9,Acorn Industrial,2021,Intentional self-harm (suicide),0
63f627aad8966ef293f0f0ea,Adams Point,2021,Alzheimer's disease,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Cancerous tumor,11
63f627aad8966ef293f0f0ea,Adams Point,2021,Chronic lower respiratory diseases,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Diabetes,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Assault (homicide),0
63f627aad8966ef293f0f0ea,Adams Point,2021,Diseases of heart,12
63f627aad8966ef293f0f0ea,Adams Point,2021,Essential hypertension and hypertensive renal disease,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Accidents (unintentional injuries),5
63f627aad8966ef293f0f0ea,Adams Point,2021,Chronic liver disease and cirrhosis,0
63f627aad8966ef293f0f0ea,Adams Point,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627aad8966ef293f0f0ea,Adams Point,2021,Parkinson's disease,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Influenza and pneumonia,0
63f627aad8966ef293f0f0ea,Adams Point,2021,Cerebrovascular diseases,1
63f627aad8966ef293f0f0ea,Adams Point,2021,Intentional self-harm (suicide),0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Alzheimer's disease,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Cancerous tumor,2
63f627e3d8966ef293f0f179,Albany Terrace,2021,Chronic lower respiratory diseases,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Diabetes,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Assault (homicide),0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Diseases of heart,1
63f627e3d8966ef293f0f179,Albany Terrace,2021,Essential hypertension and hypertensive renal disease,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Accidents (unintentional injuries),0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Chronic liver disease and cirrhosis,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Parkinson's disease,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Influenza and pneumonia,0
63f627e3d8966ef293f0f179,Albany Terrace,2021,Cerebrovascular diseases,1
63f627e3d8966ef293f0f179,Albany Terrace,2021,Intentional self-harm (suicide),0
63f627aad8966ef293f0f0eb,Allendale,2021,Alzheimer's disease,0
63f627aad8966ef293f0f0eb,Allendale,2021,Cancerous tumor,1
63f627aad8966ef293f0f0eb,Allendale,2021,Chronic lower respiratory diseases,0
63f627aad8966ef293f0f0eb,Allendale,2021,Diabetes,0
63f627aad8966ef293f0f0eb,Allendale,2021,Assault (homicide),0
63f627aad8966ef293f0f0eb,Allendale,2021,Diseases of heart,1
63f627aad8966ef293f0f0eb,Allendale,2021,Essential hypertension and hypertensive renal disease,0
63f627aad8966ef293f0f0eb,Allendale,2021,Accidents (unintentional injuries),0
63f627aad8966ef293f0f0eb,Allendale,2021,Chronic liver disease and cirrhosis,0
63f627aad8966ef293f0f0eb,Allendale,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627aad8966ef293f0f0eb,Allendale,2021,Parkinson's disease,0
63f627aad8966ef293f0f0eb,Allendale,2021,Influenza and pneumonia,0
63f627aad8966ef293f0f0eb,Allendale,2021,Cerebrovascular diseases,0
63f627aad8966ef293f0f0eb,Allendale,2021,Intentional self-harm (suicide),0
63f6280ad8966ef293f0f1f3,Alvarado,2021,Alzheimer's disease,1
63f6280ad8966ef293f0f1f3,Alvarado,2021,Cancerous tumor,5
63f6280ad8966ef293f0f1f3,Alvarado,2021,Chronic lower respiratory diseases,1
63f6280ad8966ef293f0f1f3,Alvarado,2021,Diabetes,1
63f6280ad8966ef293f0f1f3,Alvarado,2021,Assault (homicide),0
63f6280ad8966ef293f0f1f3,Alvarado,2021,Diseases of heart,4
63f6280ad8966ef293f0f1f3,Alvarado,2021,Essential hypertension and hypertensive renal disease,1
63f6280ad8966ef293f0f1f3,Alvarado,2021,Accidents (unintentional injuries),1
63f6280ad8966ef293f0f1f3,Alvarado,2021,Chronic liver disease and cirrhosis,0
63f6280ad8966ef293f0f1f3,Alvarado,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f6280ad8966ef293f0f1f3,Alvarado,2021,Parkinson's disease,0
63f6280ad8966ef293f0f1f3,Alvarado,2021,Influenza and pneumonia,0
63f6280ad8966ef293f0f1f3,Alvarado,2021,Cerebrovascular diseases,2
63f6280ad8966ef293f0f1f3,Alvarado,2021,Intentional self-harm (suicide),0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Alzheimer's disease,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Cancerous tumor,9
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Chronic lower respiratory diseases,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Diabetes,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Assault (homicide),0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Diseases of heart,5
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Essential hypertension and hypertensive renal disease,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Accidents (unintentional injuries),3
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Chronic liver disease and cirrhosis,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Parkinson's disease,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Influenza and pneumonia,0
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Cerebrovascular diseases,2
63f6279cd8966ef293f0f0bf,Ardenwood,2021,Intentional self-harm (suicide),0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Alzheimer's disease,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Cancerous tumor,2
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Chronic lower respiratory diseases,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Diabetes,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Assault (homicide),1
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Diseases of heart,2
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Essential hypertension and hypertensive renal disease,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Accidents (unintentional injuries),1
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Chronic liver disease and cirrhosis,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,"Nephritis, nephrotic syndrome and nephrosis",0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Parkinson's disease,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Influenza and pneumonia,0
63f627aad8966ef293f0f0ec,Arroyo Viejo,2021,Cerebrovascular diseases,0
